ano,tipo,3.1. Pastagem,1. Floresta,muni
2032,predição,206882.77585437166,200484.47813863645,LÁBREA
2041,predição,449947.2888493844,442402.0807294563,RIO BRANCO
2069,predição,191717.38398659838,189292.45509754552,ITAPUÃ DO OESTE
2027,predição,538328.2080092431,529491.3386479014,NOVA MAMORÉ
2055,predição,280480.0781635642,273197.9169464799,XAPURI
2029,predição,156312.14691038255,151439.82057820293,BUJARI
2032,predição,348899.4433595971,340226.31242403877,CANDEIAS DO JAMARI
2037,predição,1776109.08894128,1723711.8219372327,PORTO VELHO
2030,predição,394422.810677483,388698.240468548,MACHADINHO D'OESTE
