exercicio,instituicao,valor_despesas,valor_receita,prop_despesa_txt
2021,Prefeitura Municipal de Belém - PA,$17.748.650,$3.345.719.326,0.53%
2021,Prefeitura Municipal de Boa Vista - RR,$14.578.271,$1.485.303.829,0.98%
2021,Prefeitura Municipal de Macapá - AP,$31.142,$1.415.399.655,0.00%
2021,Prefeitura Municipal de Manaus - AM,$15.441.900,$5.955.345.074,0.26%
2021,Prefeitura Municipal de Rio Branco - AC,$11.885.598,$1.068.861.803,1.11%
2021,Prefeitura Municipal de São Luís - MA,$113.159,$3.521.418.171,0.00%
2022,Prefeitura Municipal de Belém - PA,$22.366.003,$4.034.913.967,0.55%
2022,Prefeitura Municipal de Boa Vista - RR,$21.236.275,$1.772.796.004,1.20%
2022,Prefeitura Municipal de Macapá - AP,$5.612.678,$1.271.598.979,0.44%
2022,Prefeitura Municipal de Manaus - AM,$17.786.099,$7.045.798.538,0.25%
2022,Prefeitura Municipal de Rio Branco - AC,$16.498.210,$1.381.547.597,1.19%
2022,Prefeitura Municipal de São Luís - MA,$300.108,$4.288.276.887,0.01%
2023,Prefeitura Municipal de Belém - PA,$22.327.462,$4.076.757.350,0.55%
2023,Prefeitura Municipal de Boa Vista - RR,$26.268.345,$1.941.291.769,1.35%
2023,Prefeitura Municipal de Macapá - AP,$5.960.948,$1.488.506.370,0.40%
2023,Prefeitura Municipal de Manaus - AM,$26.447.520,$7.901.753.507,0.33%
2023,Prefeitura Municipal de Rio Branco - AC,$21.056.027,$1.491.308.454,1.41%
2023,Prefeitura Municipal de São Luís - MA,$282.735,$4.780.215.212,0.01%
2024,Prefeitura Municipal de Belém - PA,$10.310.543,$4.498.266.631,0.23%
2024,Prefeitura Municipal de Boa Vista - RR,$12.930.694,$2.233.274.599,0.58%
2024,Prefeitura Municipal de Macapá - AP,$5.804.869,$1.785.507.688,0.33%
2024,Prefeitura Municipal de Manaus - AM,$15.469.229,$8.688.525.591,0.18%
2024,Prefeitura Municipal de Rio Branco - AC,$7.292.359,$1.554.393.206,0.47%
2024,Prefeitura Municipal de São Luís - MA,$22.328,$5.258.902.985,0.00%
