exercicio,instituicao,valor_despesas,demonstrativo,periodo,periodicidade,cod_ibge,uf,populacao,anexo,esfera,coluna,cod_conta,valor_receita,prop_despesa,prop_despesa_txt
2021,Prefeitura Municipal de Belém - PA,17748649.55,RREO,6,B,1501402,PA,1499641,RREO-Anexo 03,M,TOTAL (ÚLTIMOS 12 MESES),RREO3ReceitaCorrenteLiquida,3345719326.29,0.0053048829919875905,0.5%
2021,Prefeitura Municipal de Boa Vista - RR,14578270.84,RREO,6,B,1400100,RR,419652,RREO-Anexo 03,M,TOTAL (ÚLTIMOS 12 MESES),RREO3ReceitaCorrenteLiquida,1485303829.27,0.009815009261212877,1.0%
2021,Prefeitura Municipal de Macapá - AP,31142.36,RREO,6,B,1600303,AP,512902,RREO-Anexo 03,M,TOTAL (ÚLTIMOS 12 MESES),RREO3ReceitaCorrenteLiquida,1415399654.87,2.200252055512924e-5,0.0%
2021,Prefeitura Municipal de Manaus - AM,15441899.850000001,RREO,6,B,1302603,AM,2219580,RREO-Anexo 03,M,TOTAL (ÚLTIMOS 12 MESES),RREO3ReceitaCorrenteLiquida,5955345074.04,0.0025929479581817904,0.3%
2021,Prefeitura Municipal de Rio Branco - AC,11885598.01,RREO,6,B,1200401,AC,413418,RREO-Anexo 03,M,TOTAL (ÚLTIMOS 12 MESES),RREO3ReceitaCorrenteLiquida,1068861803.01,0.01111986411763355,1.1%
2021,Prefeitura Municipal de São Luís - MA,113159.12,RREO,6,B,2111300,MA,1108975,RREO-Anexo 03,M,TOTAL (ÚLTIMOS 12 MESES),RREO3ReceitaCorrenteLiquida,3521418170.83,3.213453060967432e-5,0.0%
2022,Prefeitura Municipal de Belém - PA,22366002.64,RREO,6,B,1501402,PA,1506420,RREO-Anexo 03,M,TOTAL (ÚLTIMOS 12 MESES),RREO3ReceitaCorrenteLiquida,4034913967.47,0.005543117603080913,0.6%
2022,Prefeitura Municipal de Boa Vista - RR,21236274.98,RREO,6,B,1400100,RR,436591,RREO-Anexo 03,M,TOTAL (ÚLTIMOS 12 MESES),RREO3ReceitaCorrenteLiquida,1772796003.81,0.011978972726901524,1.2%
2022,Prefeitura Municipal de Macapá - AP,5612678.220000001,RREO,6,B,1600303,AP,522357,RREO-Anexo 03,M,TOTAL (ÚLTIMOS 12 MESES),RREO3ReceitaCorrenteLiquida,1271598978.66,0.0044138744322636935,0.4%
2022,Prefeitura Municipal de Manaus - AM,17786098.54,RREO,6,B,1302603,AM,2255903,RREO-Anexo 03,M,TOTAL (ÚLTIMOS 12 MESES),RREO3ReceitaCorrenteLiquida,7045798538.09,0.0025243552514093762,0.3%
2022,Prefeitura Municipal de Rio Branco - AC,16498209.63,RREO,6,B,1200401,AC,419452,RREO-Anexo 03,M,TOTAL (ÚLTIMOS 12 MESES),RREO3ReceitaCorrenteLiquida,1381547597.2,0.011941832234688933,1.2%
2022,Prefeitura Municipal de São Luís - MA,300108.26,RREO,6,B,2111300,MA,1115932,RREO-Anexo 03,M,TOTAL (ÚLTIMOS 12 MESES),RREO3ReceitaCorrenteLiquida,4288276886.86,6.998341476493322e-5,0.0%
2023,Prefeitura Municipal de Belém - PA,22327462.17,RREO,6,B,1501402,PA,1506420,RREO-Anexo 03,M,TOTAL (ÚLTIMOS 12 MESES),RREO3ReceitaCorrenteLiquida,4076757350.19,0.005476769955160421,0.5%
2023,Prefeitura Municipal de Boa Vista - RR,26268344.89,RREO,6,B,1400100,RR,436591,RREO-Anexo 03,M,TOTAL (ÚLTIMOS 12 MESES),RREO3ReceitaCorrenteLiquida,1941291769.18,0.013531373957813526,1.4%
2023,Prefeitura Municipal de Macapá - AP,5960948.3,RREO,6,B,1600303,AP,522357,RREO-Anexo 03,M,TOTAL (ÚLTIMOS 12 MESES),RREO3ReceitaCorrenteLiquida,1488506370.1,0.00400465084983112,0.4%
2023,Prefeitura Municipal de Manaus - AM,26447519.79,RREO,6,B,1302603,AM,2255903,RREO-Anexo 03,M,TOTAL (ÚLTIMOS 12 MESES),RREO3ReceitaCorrenteLiquida,7901753507.48,0.0033470443952679754,0.3%
2023,Prefeitura Municipal de Rio Branco - AC,21056027.35,RREO,6,B,1200401,AC,419452,RREO-Anexo 03,M,TOTAL (ÚLTIMOS 12 MESES),RREO3ReceitaCorrenteLiquida,1491308454.32,0.014119163134229689,1.4%
2023,Prefeitura Municipal de São Luís - MA,282735.44,RREO,6,B,2111300,MA,1115932,RREO-Anexo 03,M,TOTAL (ÚLTIMOS 12 MESES),RREO3ReceitaCorrenteLiquida,4780215212.06,5.9147010638074834e-5,0.0%
2024,Prefeitura Municipal de Belém - PA,10310542.82,RREO,3,B,1501402,PA,1367336,RREO-Anexo 03,M,TOTAL (ÚLTIMOS 12 MESES),RREO3ReceitaCorrenteLiquida,4498266630.91,0.0022921146445945948,0.2%
2024,Prefeitura Municipal de Boa Vista - RR,12930694.179999998,RREO,3,B,1400100,RR,408157,RREO-Anexo 03,M,TOTAL (ÚLTIMOS 12 MESES),RREO3ReceitaCorrenteLiquida,2233274599.46,0.005790015335833133,0.6%
2024,Prefeitura Municipal de Macapá - AP,5804868.62,RREO,3,B,1600303,AP,478448,RREO-Anexo 03,M,TOTAL (ÚLTIMOS 12 MESES),RREO3ReceitaCorrenteLiquida,1785507687.8,0.003251102562964837,0.3%
2024,Prefeitura Municipal de Manaus - AM,15469228.62,RREO,3,B,1302603,AM,2054731,RREO-Anexo 03,M,TOTAL (ÚLTIMOS 12 MESES),RREO3ReceitaCorrenteLiquida,8688525591.3,0.001780420447341452,0.2%
2024,Prefeitura Municipal de Rio Branco - AC,7292359.36,RREO,3,B,1200401,AC,364368,RREO-Anexo 03,M,TOTAL (ÚLTIMOS 12 MESES),RREO3ReceitaCorrenteLiquida,1554393205.87,0.004691450871286097,0.5%
2024,Prefeitura Municipal de São Luís - MA,22328.05,RREO,3,B,2111300,MA,1061374,RREO-Anexo 03,M,TOTAL (ÚLTIMOS 12 MESES),RREO3ReceitaCorrenteLiquida,5258902985.17,4.245761913266826e-6,0.0%
