ano,reserva_1p,reserva_total,consumo,exportacao
2023,15894000000,18222300000,733979799,581875783
2024,14578144418,16906444418,716777147,568238069
2025,13293129202,15621429202,699574496,554600356
2026,12038954350,14367254350,682371844,540962642
2027,10815619864,13143919864,647966541,513687215
2028,9653966108,11982266108,630763890,500049501
2029,8523152717,10851452717,613561238,486411787
2030,7423179692,9751479692,596358587,472774074
2031,6354047031,8682347031,579155935,445498646
2032,5329392450,7657692450,561953284,431860933
2033,4335578233,6663878233,544750632,404585505
2034,3386242096,5714542096,510345329,390947792
2035,2484948975,4813248975,493142677,377310078
2036,1614496220,3942796220,475940026,350034651
2037,788521543,3116821543,441534723,336396937
2038,10589883,2338889883,424332071,322759224
2039,-736501412,1591798588,407129420,309121510
2040,-1452752342,875547658,372724117,295483796
2041,-2120960255,207339745,355521465,281846083
2042,-2758327803,-430027803,338318814,268208369
2043,-3364854986,-1036554986,321116162,240932942
2044,-3926904090,-1598604090,303913511,227295228
2045,-4458112829,-2129812829,286710859,213657514
2046,-4958481202,-2630181202,269508207,200019801
2047,-5428009210,-3099709210,235102904,186382087
2048,-5849494201,-3521194201,217900253,172744373
2049,-6240138827,-3911838827,200697601,159106660
2050,-6599943088,-4271643088,183494950,145468946
