ano,name,value
2023,reserva_1p,15894000000
2023,reserva_total,18222300000
2023,consumo,733979799.3946
2024,reserva_1p,15160020200.6054
2024,reserva_total,17488320200.6054
2024,consumo,733979799.3946
2025,reserva_1p,14426040401.2108
2025,reserva_total,16754340401.2108
2025,consumo,733979799.3946
2026,reserva_1p,13692060601.8162
2026,reserva_total,16020360601.8162
2026,consumo,733979799.3946
2027,reserva_1p,12958080802.4216
2027,reserva_total,15286380802.4216
2027,consumo,733979799.3946
2028,reserva_1p,12224101003.027
2028,reserva_total,14552401003.027
2028,consumo,733979799.3946
2029,reserva_1p,11490121203.6324
2029,reserva_total,13818421203.6324
2029,consumo,733979799.3946
2030,reserva_1p,10756141404.2378
2030,reserva_total,13084441404.2378
2030,consumo,733979799.3946
2031,reserva_1p,10022161604.8432
2031,reserva_total,12350461604.8432
2031,consumo,733979799.3946
2032,reserva_1p,9288181805.4486
2032,reserva_total,11616481805.4486
2032,consumo,733979799.3946
2033,reserva_1p,8554202006.054
2033,reserva_total,10882502006.054
2033,consumo,733979799.3946
2034,reserva_1p,7820222206.6594
2034,reserva_total,10148522206.6594
2034,consumo,733979799.3946
2035,reserva_1p,7086242407.264799
2035,reserva_total,9414542407.2648
2035,consumo,733979799.3946
2036,reserva_1p,6352262607.870199
2036,reserva_total,8680562607.8702
2036,consumo,733979799.3946
2037,reserva_1p,5618282808.475599
2037,reserva_total,7946582808.475599
2037,consumo,733979799.3946
2038,reserva_1p,4884303009.080999
2038,reserva_total,7212603009.080999
2038,consumo,733979799.3946
2039,reserva_1p,4150323209.6863995
2039,reserva_total,6478623209.686399
2039,consumo,733979799.3946
2040,reserva_1p,3416343410.2917995
2040,reserva_total,5744643410.2918
2040,consumo,733979799.3946
2041,reserva_1p,2682363610.8971996
2041,reserva_total,5010663610.8972
2041,consumo,733979799.3946
2042,reserva_1p,1948383811.5025997
2042,reserva_total,4276683811.5025997
2042,consumo,733979799.3946
2043,reserva_1p,1214404012.1079998
2043,reserva_total,3542704012.108
2043,consumo,733979799.3946
2044,reserva_1p,480424212.7133999
2044,reserva_total,2808724212.7134
2044,consumo,733979799.3946
2045,reserva_1p,-253555586.68120003
2045,reserva_total,2074744413.3188
2045,consumo,733979799.3946
2046,reserva_1p,-987535386.0758
2046,reserva_total,1340764613.9242
2046,consumo,733979799.3946
2047,reserva_1p,-1721515185.4704018
2047,reserva_total,606784814.5295982
2047,consumo,733979799.3946
2048,reserva_1p,-2455494984.8650017
2048,reserva_total,-127194984.86500168
2048,consumo,733979799.3946
2049,reserva_1p,-3189474784.2596016
2049,reserva_total,-861174784.2596016
2049,consumo,733979799.3946
2050,reserva_1p,-3923454583.6542015
2050,reserva_total,-1595154583.6542015
2050,consumo,733979799.3946
