ano,reserva_1p,reserva_total,exportacao,consumo,cenario
2023,15894000000,18222300000,581875783,733979799,5
2024,14578144418,16906444418,581875783,716777147,5
2025,13279491488,15607791488,581875783,699574496,5
2026,11998041209,14326341209,581875783,682371844,5
2027,10733793582,13062093582,581875783,647966541,5
2028,9503951258,11832251258,581875783,630763890,5
2029,8291311585,10619611585,581875783,613561238,5
2030,7095874564,9424174564,581875783,596358587,5
2031,5917640194,8245940194,581875783,579155935,5
2032,4756608476,7084908476,581875783,561953284,5
2033,3612779409,5941079409,581875783,544750632,5
2034,2486152994,4814452994,581875783,510345329,5
2035,1393931882,3722231882,581875783,493142677,5
2036,318913422,2647213422,581875783,475940026,5
2037,-738902387,1589397613,581875783,441534723,5
2038,-1762312893,565987107,581875783,424332071,5
2039,-2768520747,-440220747,581875783,407129420,5
2040,-3757525950,-1429225950,581875783,372724117,5
2041,-4712125850,-2383825850,581875783,355521465,5
2042,-5649523098,-3321223098,581875783,338318814,5
2043,-6569717695,-4241417695,581875783,321116162,5
2044,-7472709640,-5144409640,581875783,303913511,5
2045,-8358498934,-6030198934,581875783,286710859,5
2046,-9227085576,-6898785576,581875783,269508207,5
2047,-10078469566,-7750169566,581875783,235102904,5
2048,-10895448253,-8567148253,581875783,217900253,5
2049,-11695224289,-9366924289,581875783,200697601,5
2050,-12477797673,-10149497673,581875783,183494950,5
