ano,tj,boe
2000,3352056,547912995.1248001
2001,3331443,544543680.7194
2002,3284529,536875315.3182001
2003,3175454,519046373.9332
2004,3289800,537736890.84
2005,3307912,540697402.2896
2006,3377734,552110213.1572
2007,3520739,575485209.8362
2008,3623079,592213276.4082
2009,3581732,585454869.4456
2010,3920649,640852818.8141999
2011,4187948,684544390.6984
2012,4426464,723531214.2912002
2013,4507546,736784537.4668
2014,4570617,747093858.2286001
2015,4304076,703526185.8408
2016,4231741,691702610.5478
2017,4272486,698362617.1187999
2018,4027364,658296004.5112
2019,4086227,667917503.2666001
2020,3860296,630987770.9168001
2021,4160297,680024674.3726002
2022,4400900,719352630.2199999
2023,4490387,733979799.3946
